"","caseid","ideol7b","presvote","retecon","white","female","age","educ1_7","income","partyid","bushiraq","exptrnout2"
"1",3,6,1,0.5,1,1,37,6,23,6,1,1
"2",8,4,0,0,1,1,56,4,8,1,0,1
"3",10,6,1,0.5,1,1,47,7,23,6,1,1
"4",14,4,1,0,1,1,33,3,10,5,0.333333343267441,1
"5",16,4,0,-0.5,1,0,39,6,23,2,0,1
"6",20,4,0,-1,0,1,33,4,5,0,0.333333343267441,1
"7",21,3,1,0.5,1,1,31,6,19,6,0,1
"8",23,6,1,-0.5,1,0,37,4,18,5,0.333333343267441,1
"9",24,6,1,1,1,0,27,6,14,6,1,1
"10",26,4,0,0,0,1,44,3,14,1,0,1
"11",29,4,0,0,0,1,40,3,10,0,0,1
"12",33,5,1,0.5,1,1,50,6,20,4,0.666666686534882,1
"13",38,3,1,-0.5,1,0,46,6,14,4,0,1
"14",42,4,1,0,1,0,59,3,6,5,0.333333343267441,1
"15",46,6,1,0.5,1,1,39,3,20,6,1,1
"16",55,5,1,0.5,1,0,62,3,20,6,1,1
"17",57,5,1,0.5,1,0,59,6,23,5,1,1
"18",58,6,1,0.5,1,0,26,3,18,6,1,1
"19",62,4,1,-0.5,0,0,60,4,18,3,0.666666686534882,1
"20",63,2,0,-1,1,1,41,7,20,0,0,1
"21",64,2,0,0.5,1,1,77,3,6,0,0,1
"22",69,6,1,-0.5,1,1,47,3,19,5,1,1
"23",71,4,1,-0.5,1,0,23,3,7,6,0.666666686534882,1
"24",74,5,1,0,1,0,56,6,20,1,0.666666686534882,1
"25",77,6,1,-0.5,1,1,28,5,15,6,1,1
"26",80,6,1,0.5,1,0,51,6,23,4,0.666666686534882,1
"27",85,4,1,0.5,1,0,42,3,19,6,1,1
"28",86,5,1,-1,1,1,71,3,10,1,0.333333343267441,1
"29",90,6,1,0,0,0,74,3,11,4,1,1
"30",92,2,0,0,1,1,53,6,23,1,0,1
"31",93,6,1,0.5,1,1,67,3,10,6,1,1
"32",96,1,0,-1,0,1,32,6,19,0,0,1
"33",100,4,0,-1,0,0,64,2,8,2,0,1
"34",101,4,1,0.5,1,1,44,6,19,6,1,1
"35",103,6,1,0.5,1,1,61,5,18,1,1,1
"36",104,6,1,0.5,1,0,67,7,20,4,0.666666686534882,1
"37",105,5,1,0,1,0,75,7,17,6,1,1
"38",106,4,0,-1,1,0,70,3,14,0,0,1
"39",109,5,1,0,1,1,45,3,23,6,1,1
"40",111,2,0,0,1,1,47,7,23,2,0,1
"41",113,4,0,0,0,1,28,3,15,2,0,1
"42",117,6,0,-1,0,1,24,4,14,0,0,1
"43",122,5,0,-0.5,1,1,73,3,5,0,0,1
"44",123,5,1,0.5,1,0,61,7,23,6,0.666666686534882,1
"45",124,3,1,0.5,1,0,55,3,19,5,1,1
"46",127,5,1,0,1,0,21,4,20,5,0.666666686534882,1
"47",134,6,1,1,1,1,24,4,16,6,0.666666686534882,1
"48",138,5,1,0.5,1,0,73,6,20,5,0,1
"49",139,4,1,1,1,0,21,3,10,6,1,1
"50",142,4,0,-1,1,1,77,3,9,0,0.666666686534882,1
"51",144,5,0,-0.5,1,0,52,6,23,2,0,1
"52",145,3,0,-0.5,1,1,67,3,16,2,0,1
"53",148,7,1,0.5,1,0,46,5,18,6,1,1
"54",152,3,0,-0.5,1,0,23,4,10,2,0,1
"55",157,4,0,-1,1,1,68,3,13,1,0,1
"56",159,2,0,-0.5,1,1,29,6,20,0,0,1
"57",165,6,1,0,1,1,58,5,23,6,0.666666686534882,1
"58",167,6,1,0.5,1,1,49,6,10,6,1,1
"59",168,4,0,-0.5,1,1,29,2,11,1,0,1
"60",169,4,0,-1,0,1,58,7,15,0,0,1
"61",172,6,1,0,1,0,34,5,19,5,0,1
"62",173,1,0,-0.5,0,0,23,5,21,2,0,1
"63",174,4,0,0,0,0,62,3,6,0,0,1
"64",176,6,1,0,1,0,19,3,18,5,0.666666686534882,1
"65",182,6,1,0,1,1,36,7,22,6,0.666666686534882,1
"66",184,5,0,0,0,0,44,4,17,3,0,1
"67",186,4,0,-1,1,1,63,2,2,1,0,1
"68",187,4,1,0.5,1,0,37,6,23,4,1,1
"69",190,5,1,0.5,1,0,38,2,17,5,1,1
"70",195,4,1,-1,0,0,55,3,15,3,0,1
"71",205,4,0,-0.5,1,1,20,4,23,2,0.666666686534882,1
"72",211,5,0,0,1,1,53,4,21,5,0.333333343267441,1
"73",213,5,1,-0.5,1,0,30,4,19,2,0,1
"74",217,4,0,-1,1,1,73,4,13,0,0,1
"75",218,4,1,0,1,1,41,3,12,5,0.666666686534882,1
"76",219,1,0,0,1,0,62,7,22,1,0,1
"77",228,4,1,-0.5,1,1,38,4,20,6,0,1
"78",234,6,1,0.5,1,0,44,3,18,5,1,1
"79",235,7,1,0,1,0,59,3,15,5,1,1
"80",237,4,1,0,1,1,82,4,22,1,0,1
"81",238,4,0,-1,0,1,61,2,1,0,0,1
"82",240,4,1,0,1,0,51,4,11,1,1,1
"83",241,4,1,-1,0,1,35,3,6,3,0,1
"84",242,3,0,-1,1,1,54,3,17,0,0,1
"85",243,7,1,0,1,0,58,6,12,4,0.666666686534882,1
"86",253,4,0,-1,0,1,25,3,12,1,0,1
"87",255,4,0,-1,1,0,56,3,4,3,0,1
"88",258,6,1,0,1,1,77,2,6,6,1,1
"89",260,4,0,0,1,0,51,6,23,2,0,1
"90",262,3,0,-1,1,1,78,7,12,0,0,1
"91",263,6,1,0.5,1,0,48,3,17,2,0.666666686534882,1
"92",266,5,1,-0.5,1,0,51,3,19,6,0.333333343267441,1
"93",272,5,1,0,1,0,30,5,13,5,0.666666686534882,1
"94",275,3,1,0,1,1,31,5,14,1,1,1
"95",282,5,1,0,1,1,29,6,17,5,0.666666686534882,1
"96",284,6,1,0,1,0,60,3,23,6,1,1
"97",285,6,1,0,1,0,80,6,15,6,0.666666686534882,1
"98",293,4,0,-0.5,1,1,26,3,8,1,0,1
"99",295,2,0,-1,0,0,66,7,23,0,0,1
"100",300,3,1,-0.5,1,1,45,4,19,5,0,1
"101",301,4,1,0,1,0,54,2,5,6,1,1
"102",307,4,1,0.5,0,0,55,6,23,1,0.666666686534882,1
"103",308,5,1,0,1,0,62,3,23,6,1,1
"104",310,6,1,1,1,0,47,7,23,6,0.666666686534882,1
"105",313,4,0,0,1,0,71,3,14,1,0,1
"106",322,2,0,-0.5,1,1,28,6,11,0,0,1
"107",325,7,1,0.5,1,0,27,4,13,6,1,1
"108",331,7,1,0,1,0,45,3,23,6,1,1
"109",334,4,0,-1,0,1,38,5,12,1,0,1
"110",341,6,1,0,1,0,46,4,20,5,0.666666686534882,1
"111",343,6,1,-1,1,1,51,3,6,6,1,1
"112",344,4,0,-1,0,0,39,4,18,2,0,1
"113",351,2,0,-0.5,1,1,62,6,18,0,0,1
"114",354,2,0,0.5,1,0,76,7,23,0,0,1
"115",355,6,1,0.5,1,1,31,4,20,6,1,1
"116",357,4,0,-0.5,1,1,78,2,16,3,0,1
"117",359,4,0,-0.5,1,0,28,4,15,1,0.666666686534882,1
"118",362,5,1,0,1,1,56,5,13,4,0.666666686534882,1
"119",366,4,0,-0.5,1,0,79,4,12,4,0,1
"120",367,4,1,0.5,1,0,83,1,2,4,1,1
"121",368,6,1,0.5,1,1,63,7,16,5,0.333333343267441,1
"122",370,5,1,0.5,1,0,44,3,21,6,1,1
"123",376,4,0,-0.5,0,1,62,5,19,0,0,1
"124",380,2,0,0,1,1,27,4,18,0,0,1
